card_id,disp_id,type,issued
1005,9285,classic,"1993-11-07 12:00:00"
104,588,classic,"1994-01-19 12:00:00"
747,4915,classic,"1994-02-05 12:00:00"
70,439,classic,"1994-02-08 12:00:00"
577,3687,classic,"1994-02-15 12:00:00"
377,2429,classic,"1994-03-03 12:00:00"
721,4680,junior,"1994-04-05 12:00:00"
437,2762,classic,"1994-06-01 12:00:00"
188,1146,classic,"1994-06-19 12:00:00"
13,87,classic,"1994-06-29 12:00:00"
732,4763,classic,"1994-07-21 12:00:00"
181,1066,classic,"1994-08-19 12:00:00"
384,2475,junior,"1994-09-15 12:00:00"
309,1946,classic,"1994-09-19 12:00:00"
478,3084,classic,"1994-10-09 12:00:00"
563,3589,classic,"1994-10-21 12:00:00"
369,2363,classic,"1994-11-08 12:00:00"
376,2428,classic,"1994-11-10 12:00:00"
483,3115,classic,"1994-11-24 12:00:00"
174,1039,junior,"1994-12-04 12:00:00"
658,4251,classic,"1994-12-25 12:00:00"
763,5138,junior,"1994-12-30 12:00:00"
778,5275,classic,"1995-01-02 12:00:00"
1039,9837,classic,"1995-01-07 12:00:00"
477,3082,junior,"1995-01-16 12:00:00"
168,1018,classic,"1995-01-24 12:00:00"
314,1999,junior,"1995-01-27 12:00:00"
468,3023,classic,"1995-01-30 12:00:00"
208,1246,gold,"1995-02-08 12:00:00"
766,5200,classic,"1995-02-11 12:00:00"
464,2984,classic,"1995-02-21 12:00:00"
497,3184,classic,"1995-03-03 12:00:00"
166,999,classic,"1995-03-05 12:00:00"
15,114,classic,"1995-03-05 12:00:00"
503,3225,classic,"1995-03-08 12:00:00"
1038,9787,junior,"1995-03-30 12:00:00"
737,4791,classic,"1995-04-13 12:00:00"
418,2623,classic,"1995-04-14 12:00:00"
759,5117,junior,"1995-04-18 12:00:00"
223,1353,classic,"1995-04-18 12:00:00"
5,51,junior,"1995-04-24 12:00:00"
159,946,classic,"1995-05-01 12:00:00"
1223,13231,junior,"1995-05-02 12:00:00"
662,4293,classic,"1995-05-09 12:00:00"
779,5323,junior,"1995-05-21 12:00:00"
1040,9890,junior,"1995-05-28 12:00:00"
545,3458,classic,"1995-05-30 12:00:00"
467,3019,classic,"1995-06-05 12:00:00"
1247,13660,classic,"1995-06-13 12:00:00"
652,4211,classic,"1995-06-16 12:00:00"
559,3573,classic,"1995-06-17 12:00:00"
719,4663,classic,"1995-06-24 12:00:00"
